Country,Country_Code,Year,gdp_per_capita_growth,female_lfp,male_lfp,women_parliament,fertility_rate,female_secondary,male_secondary,gross_capital_formation,inflation,trade_open,data_source,lfp_gender_gap,girls_boys_secondary_ratio,sample_flag
Burundi,BDI,2000,-2.7732867872300297,86,84.599998474121,14.4,7.057,NA,NA,2.78113770997581,24.3176809628752,22.553724489674305,GitHub mirror of WDI extracts,1.4000015258790057,NA,Core regression window
Burundi,BDI,2001,-0.40763300786529993,85.599998474121,84.1999969482422,14.4,7,NA,NA,4.4682585628341,9.24297175064208,20.9640456158201,GitHub mirror of WDI extracts,1.4000015258787926,NA,Core regression window
Burundi,BDI,2002,1.50280313689134,85.3000030517578,83.6999969482422,18.4,6.939,NA,NA,3.948660198770259,-1.3709744528585202,21.6738294068383,GitHub mirror of WDI extracts,1.6000061035155966,NA,Core regression window
Burundi,BDI,2003,-4.30507978589156,85,83.3000030517578,18.4,6.873,8.87535,11.69614,7.868790037237559,10.7616697251578,27.3763120802145,GitHub mirror of WDI extracts,1.6999969482422017,0.7588272712193936,Core regression window
Burundi,BDI,2004,1.3940291113939598,84.6999969482422,82.9000015258789,18.4,6.803,9.97049,13.4738,10.347097129754,7.85168821770669,31.5761181805439,GitHub mirror of WDI extracts,1.7999954223632955,0.739990945390313,Core regression window
Burundi,BDI,2005,-2.4712274618831898,84.4000015258789,82.599998474121,30.5,6.729,10.72645,14.85728,22.3727086813586,13.523678355758,41.64680569347899,GitHub mirror of WDI extracts,1.800003051757912,0.7219659318529368,Core regression window
Burundi,BDI,2006,1.81809824557659,84.1999969482422,82.4000015258789,30.5,6.65,11.72522,16.30285,21.955419473705,2.80901497830199,54.1517904863709,GitHub mirror of WDI extracts,1.7999954223632955,0.7192128983582625,Core regression window
Burundi,BDI,2007,1.1907732978474,84.099998474121,82.3000030517578,30.5,6.567,12.30503,17.67726,23.60674986782,8.3420324059374,41.48231204416879,GitHub mirror of WDI extracts,1.799995422363196,0.6960937385092486,Core regression window
Burundi,BDI,2008,1.44307794171759,84,82.1999969482422,30.5,6.481,NA,NA,26.6639082219139,24.1073548098801,47.41791825841229,GitHub mirror of WDI extracts,1.8000030517577983,NA,Core regression window
Burundi,BDI,2009,-0.0367468869434475,84,82.1999969482422,31.4,6.393,16.43209,23.70591,23.2477645296106,10.9814687714486,49.925872903217105,GitHub mirror of WDI extracts,1.8000030517577983,0.6931642784436455,Core regression window
Burundi,BDI,2010,0.345397197071293,84,82.1999969482422,32.1,6.304,18.95567,27.53607,30.5198527072406,6.40124902419987,48.0956962350074,GitHub mirror of WDI extracts,1.8000030517577983,0.6883941680857145,Core regression window
Burundi,BDI,2011,0.832184832435928,84.099998474121,82.5,30.5,6.214,21.57512,30.55264,27.588772613040295,9.73501919943595,47.0192045511925,GitHub mirror of WDI extracts,1.5999984741209943,0.7061622170784586,Core regression window
Burundi,BDI,2012,0.753883816202688,84.1999969482422,82.6999969482422,30.5,NA,24.21676,32.96336,28.3730482458532,18.012816060016302,46.418980044212894,GitHub mirror of WDI extracts,1.5,0.734656903907854,Descriptive only
Burundi,BDI,2013,NA,NA,NA,30.5,NA,NA,NA,NA,NA,NA,GitHub mirror of WDI extracts,NA,NA,Descriptive only
Kenya,KEN,2000,-1.99352169165763,63.2999992370605,73.4000015258789,3.6,5.012,38.34074,40.32425,17.4140906154511,9.9800251535098,53.3090443820944,GitHub mirror of WDI extracts,-10.100002288818409,0.9508109884250792,Core regression window
Kenya,KEN,2001,1.0621954466756,62.7000007629395,72.6999969482422,3.6,5.001,39.09169,41.65231,18.790340524259,5.738598143414849,55.946836027301295,GitHub mirror of WDI extracts,-9.999996185302699,0.9385239378080111,Core regression window
Kenya,KEN,2002,-2.11659362884265,62.0999984741211,72.099998474121,3.6,4.99,40.07099,41.93866,15.1382158893462,1.96130821739162,55.1726722640053,GitHub mirror of WDI extracts,-9.999999999999893,0.9554666267353321,Core regression window
Kenya,KEN,2003,0.18653672235402,61.5,71.4000015258789,7.1,4.976,43.654,42.62994,16.4821493891933,9.81569062979648,54.132265895729,GitHub mirror of WDI extracts,-9.900001525878906,1.0240220840095013,Core regression window
Kenya,KEN,2004,2.2994903442130696,61,70.9000015258789,7.1,4.955,45.54195,48.7924,16.962495556485,11.6240355442426,59.477003348428894,GitHub mirror of WDI extracts,-9.900001525878906,0.9333820431050738,Core regression window
Kenya,KEN,2005,3.0918811128777905,60.5999984741211,70.4000015258789,7.1,4.923,46.73504,48.98227,17.6496847904784,10.312778357468302,64.4788661639796,GitHub mirror of WDI extracts,-9.800003051757805,0.9541215627613828,Core regression window
Kenya,KEN,2006,3.51950615430587,60.7999992370605,70.6999969482422,7.3,4.879,48.29597,51.72595,18.4883582619393,14.453734208171,64.944156081074,GitHub mirror of WDI extracts,-9.899997711181705,0.9336893764155129,Core regression window
